0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,class
2.0,20.0,0.0,61.0,2.0,5.0,4.0,4.0,3.0,31.0,1.0,1.375,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
4.0,24.0,4.0,58.0,4.0,3.0,3.0,2.0,1.0,27.0,3.0,2.0,1.0,1.0,1.0,0.0,0.12,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
1.0,24.0,2.0,20.0,1.0,3.0,3.0,4.0,1.0,21.0,3.0,1.0,2.0,1.4603174603174602,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,12.0,2.0,7.0,1.0,5.0,2.0,4.0,2.0,35.56692913385827,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
2.0,26.0,2.0,28.1171875,1.0,2.0,3.0,3.0,3.0,30.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
1.0,24.0,2.0,29.0,1.0,3.0,3.0,4.0,4.0,63.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.9606299212598424,0.0,0.0,1.0,0.0,0.0,1.0,0
1.0,48.0,2.0,39.0,1.813953488372093,4.0,3.0,4.0,4.0,46.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2.0,18.0,2.0,30.0,1.0,3.427480916030534,2.0,4.0,1.0,40.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
4.0,6.0,3.0,9.0,1.0,3.0,2.0,2.0,1.0,35.56692913385827,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
4.0,4.0,4.0,15.0,1.0,4.0,2.7906976744186047,1.0,1.0,42.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
1.0,18.0,0.0,31.0,1.813953488372093,2.0,2.0,4.0,2.0,26.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
3.0,21.0,2.0,29.0,2.0,3.0,2.0,1.0,3.0,28.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6976744186046512,0.0,0.0,0.0,0
4.0,15.0,4.0,13.0,3.0,3.0,4.0,2.0,2.0,47.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
2.0,18.0,2.0,44.0,1.0,5.0,3.0,1.0,1.0,33.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.9606299212598424,1.0,0.0,1.0,0.0,0.0,0.0,0
4.0,12.0,2.0,11.0,1.0,3.0,4.0,2.0,1.0,26.0,3.0,1.0,1.0,1.4603174603174602,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
2.0,8.0,2.0,9.0,1.0,2.0,4.0,2.0,1.0,26.0,3.0,1.0,1.0,2.0,1.023076923076923,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
4.0,39.0,2.0,26.0,3.0,3.0,3.0,4.0,3.0,24.0,3.0,1.0,1.141732283464567,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
4.0,12.0,4.0,19.0,1.0,5.0,3.0,2.0,4.0,26.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.9606299212598424,0.0,0.0,1.0,0.0,0.0,1.0,0
2.0,48.0,1.0,64.0,1.0,5.0,2.0,3.0,4.0,59.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
4.0,12.0,4.0,7.0,2.0,4.0,2.0,3.0,3.0,51.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0314960629921259,0.0,1.0,0.0,0.0,1.0,0
2.0,11.0,4.0,13.0,4.0,3.0,2.0,4.0,3.0,40.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0314960629921259,0.0,1.0,0.0,0.0,1.0,0
2.0,12.0,2.0,15.0,1.0,2.0,4.0,1.0,1.0,35.56692913385827,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
1.0,27.0,0.0,28.1171875,1.0,1.0,3.0,4.0,2.0,50.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
