0,1,2,3,4,5,6,7,class
2.0,0.525,0.425,0.19,0.872,0.4625,0.2044418604651162,0.199,1
0.0,0.665,0.505,0.165,1.349,0.3879871794871795,0.3175,0.36,1
1.0,0.545,0.4,0.13,0.686,0.3285,0.2044418604651162,0.18,1
0.0,0.46,0.33,0.144,0.5325,0.2085,0.1805,0.125,1
1.0,0.315,0.23,0.07,0.164,0.3879871794871795,0.04,0.045,0
1.255813953488372,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,0
1.0,0.31,0.225,0.05,0.9396511627906978,0.0675,0.0385,0.045,0
2.0,0.57,0.445,0.15,0.9875,0.504,0.207,0.249,0
1.0,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,0
1.255813953488372,0.53,0.425,0.13,0.717,0.2115,0.166,0.255,1
2.0,0.59,0.4092682926829267,0.135,1.1685,0.539,0.279,0.28,0
2.0,0.64,0.49,0.155,1.1285,0.477,0.269,0.34,1
1.0,0.315,0.235,0.075,0.1285,0.051,0.028,0.2543372093023255,0
2.0,0.6,0.47,0.144,1.105,0.4865,0.247,0.315,1
0.0,0.53,0.42,0.144,0.677,0.2565,0.1415,0.21,1
2.0,0.615,0.47,0.175,1.242,0.5675,0.287,0.2543372093023255,1
1.0,0.5371428571428571,0.35,0.12,0.375,0.1425,0.0965,0.115,1
2.0,0.5371428571428571,0.46,0.155,1.03,0.4275,0.207,0.3305,1
2.0,0.465,0.36,0.125,0.9396511627906978,0.169,0.1075,0.145,1
2.0,0.615,0.45,0.15,1.198,0.3879871794871795,0.2095,0.2505,0
2.0,0.56,0.41,0.165,0.9396511627906978,0.3505,0.237,0.3,1
2.0,0.555,0.435,0.145,0.9205,0.3879871794871795,0.2275,0.255,0
2.0,0.5371428571428571,0.47,0.165,1.059,0.504,0.241,0.275,1
1.0,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306,1
2.0,0.565,0.4092682926829267,0.15,0.99,0.5795,0.1825,0.206,0
1.0,0.29,0.225,0.144,0.101,0.036,0.0235,0.035,0
2.0,0.545,0.435,0.144,0.9385,0.3685,0.1245,0.345,1
2.0,0.645,0.51,0.16,1.1835,0.3879871794871795,0.2385,0.345,1
0.0,0.65,0.525,0.165,1.238,0.647,0.2485,0.2543372093023255,1
0.0,0.725,0.56,0.185,1.792,0.3879871794871795,0.367,0.435,1
0.0,0.65,0.545,0.185,1.5055,0.3879871794871795,0.341,0.43,1
1.255813953488372,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,1
0.0,0.525,0.41,0.115,0.7745,0.416,0.163,0.18,0
0.0,0.61,0.4092682926829267,0.175,1.2635,0.53,0.315,0.3455,1
2.0,0.605,0.47,0.18,1.1155,0.479,0.2044418604651162,0.321,1
0.0,0.505,0.4092682926829267,0.15,0.644,0.285,0.145,0.21,1
2.0,0.415,0.315,0.115,0.3895,0.3879871794871795,0.065,0.103,1
2.0,0.62,0.485,0.145,1.003,0.4655,0.2195,0.2543372093023255,1
1.0,0.58,0.425,0.145,0.9396511627906978,0.379,0.1605,0.2575,1
1.0,0.5371428571428571,0.29,0.09,0.2745,0.135,0.0455,0.078,0
2.0,0.645,0.4092682926829267,0.195,1.401,0.6165,0.3515,0.3725,1
1.255813953488372,0.5,0.385,0.12,0.56,0.2835,0.103,0.135,0
