0,1,2,3,4,5,6,7,class
2.0,0.58,0.455,0.17,0.93,0.408,0.259,0.2527831858407079,1
1.0,0.36,0.265,0.075,0.1845,0.083,0.1886916299559471,0.055,0
2.0,0.565,0.415,0.1436111111111111,0.667,0.302,0.1545,0.185,0
1.100877192982456,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,1
1.0,0.375,0.29,0.1436111111111111,0.213,0.096,0.041,0.061,0
2.0,0.635,0.51,0.155,0.986,0.37265,0.2255,0.31,1
1.100877192982456,0.485,0.375,0.11,0.464,0.2015,0.09,0.149,0
2.0,0.575,0.455,0.135,0.907,0.4245,0.1886916299559471,0.26,1
2.0,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,1
2.0,0.67,0.535,0.19,1.669,0.7465,0.1886916299559471,0.508,1
2.0,0.59,0.475,0.14,0.8461931330472103,0.4625,0.2025,0.275,1
1.100877192982456,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,0
0.0,0.5396413502109705,0.435,0.14,0.8585,0.3905,0.196,0.2295,0
1.0,0.525,0.4,0.14,0.6955,0.2405,0.16,0.253,1
1.0,0.575,0.455,0.16,0.9895,0.37265,0.195,0.246,1
1.100877192982456,0.625,0.49,0.165,1.1835,0.517,0.2375,0.39,1
2.0,0.6,0.485,0.1436111111111111,1.2675,0.4995,0.2815,0.38,1
1.0,0.38,0.285,0.095,0.243,0.0895,0.0665,0.075,0
1.0,0.455,0.355,0.105,0.372,0.138,0.1886916299559471,0.135,1
1.100877192982456,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,1
0.0,0.595,0.455,0.1436111111111111,1.04,0.452,0.2655,0.288,1
1.100877192982456,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,1
1.0,0.5396413502109705,0.405,0.125,0.6795,0.3465,0.1395,0.182,0
0.0,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,1
2.0,0.63,0.48,0.165,1.286,0.604,0.1886916299559471,0.35,0
1.0,0.525,0.375,0.12,0.6315,0.37265,0.114,0.19,1
1.0,0.5396413502109705,0.33,0.1,0.437,0.163,0.0755,0.17,1
2.0,0.595,0.49,0.185,0.8461931330472103,0.482,0.2015,0.361,1
2.0,0.58,0.47,0.165,0.927,0.3215,0.1985,0.2527831858407079,1
0.0,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,0
