0,1,2,3,4,5,6,7,8,9,class
2.1624365482233503,4.0,11.0,4.0,1.0,3.0,4.0,0.0,40.0,39.0,0
2.0,3.95959595959596,8.0,2.0,5.0,0.0,4.0,1.0,60.0,39.0,1
2.1624365482233503,4.0,11.0,2.0,3.0,0.0,4.0,1.0,40.0,39.0,1
2.0,3.95959595959596,11.0,0.0,1.0,3.0,4.0,0.0,40.0,39.0,0
2.0,4.0,10.461538461538462,4.0,12.0,4.0,4.0,0.0,32.0,39.0,0
2.0,4.0,15.0,2.0,6.781094527363184,0.0,4.0,1.0,45.0,39.0,1
2.0,3.95959595959596,11.0,0.0,3.0,1.0,4.0,1.0,50.0,39.0,0
1.0,4.0,9.0,2.0,4.0,5.0,4.0,0.0,42.51470588235294,39.0,1
0.0,4.0,11.0,2.0,3.0,0.0,4.0,0.7178217821782178,40.0,39.0,0
2.0,2.0,10.461538461538462,2.0,10.0,0.0,4.0,1.0,40.0,39.0,1
2.0,4.0,11.0,4.0,8.0,4.0,4.0,0.7178217821782178,35.0,39.0,0
4.0,0.0,10.461538461538462,2.0,0.0,0.0,4.0,1.0,30.0,39.0,1
2.0,2.0,9.0,0.0,10.0,4.0,4.0,0.0,40.0,36.94146341463415,0
2.0,4.0,11.0,2.0,14.0,0.0,4.0,1.0,40.0,39.0,1
2.0,4.0,11.0,2.0,3.0,0.0,4.0,1.0,40.0,39.0,1
0.0,4.0,11.0,4.0,6.0,3.0,4.0,1.0,42.51470588235294,39.0,0
2.1624365482233503,4.0,9.0,2.0,10.0,5.0,4.0,0.0,50.0,39.0,1
1.0,4.0,11.0,2.522167487684729,3.0,3.0,4.0,1.0,40.0,39.0,0
1.0,4.0,14.0,4.0,10.0,1.0,4.0,1.0,60.0,39.0,0
2.0,4.0,10.461538461538462,2.0,12.0,0.0,4.0,1.0,48.0,39.0,1
4.0,4.0,9.0,2.0,4.0,0.0,3.6485148514851486,1.0,40.0,39.0,1
2.0,5.0,11.0,2.0,4.0,0.0,4.0,0.7178217821782178,55.0,39.0,1
2.0,2.0,7.0,2.0,11.0,0.0,4.0,0.7178217821782178,40.0,39.0,1
4.0,6.0,5.0,2.0,3.0,0.0,4.0,1.0,40.0,39.0,0
2.0,4.0,15.0,4.0,10.0,1.0,4.0,0.0,42.51470588235294,39.0,0
0.0,4.0,10.461538461538462,4.0,6.0,3.0,4.0,1.0,40.0,39.0,0
2.0,2.0,8.0,2.0,6.781094527363184,0.0,4.0,1.0,48.0,39.0,1
2.0,4.0,10.461538461538462,2.0,3.0,3.0,4.0,1.0,40.0,39.0,1
2.1624365482233503,7.0,15.0,4.0,6.0,3.0,4.0,1.0,40.0,39.0,0
2.0,3.95959595959596,15.0,2.0,14.0,0.0,4.0,1.0,40.0,39.0,0
2.0,4.0,14.0,2.522167487684729,10.0,1.0,2.0,0.0,40.0,39.0,0
2.1624365482233503,4.0,7.0,2.0,12.0,0.0,4.0,1.0,38.0,39.0,1
2.0,6.0,9.0,2.0,4.0,0.0,4.0,0.7178217821782178,60.0,39.0,1
1.0,3.95959595959596,11.0,2.0,8.0,0.0,4.0,1.0,40.0,39.0,0
1.0,4.0,11.0,2.0,12.0,5.0,4.0,0.7178217821782178,40.0,39.0,0
2.0,4.0,11.0,5.0,3.0,4.0,2.0,1.0,45.0,39.0,0
1.0,4.0,11.0,2.0,4.0,0.0,4.0,0.7178217821782178,40.0,39.0,1
2.0,4.0,9.0,2.0,4.0,0.0,1.0,1.0,40.0,36.94146341463415,1
2.0,4.0,9.0,2.0,10.0,0.0,3.6485148514851486,1.0,40.0,39.0,0
2.0,4.0,0.0,2.0,4.0,0.0,4.0,1.0,42.51470588235294,39.0,1
2.0,4.0,9.0,4.0,12.0,1.2318840579710144,4.0,1.0,50.0,39.0,1
1.0,4.0,9.0,2.522167487684729,6.0,3.0,4.0,1.0,35.0,39.0,0
4.0,0.0,11.0,2.0,6.781094527363184,0.0,4.0,1.0,40.0,39.0,1
2.0,4.0,15.0,0.0,10.0,1.0,4.0,0.0,40.0,36.94146341463415,0
1.0,4.0,15.0,5.0,6.0,1.0,2.0,1.0,40.0,36.94146341463415,0
2.0,4.0,9.0,2.0,4.0,0.0,4.0,1.0,50.0,39.0,1
4.0,1.0,7.0,2.0,10.0,0.0,4.0,1.0,42.51470588235294,39.0,1
2.0,4.0,11.0,2.522167487684729,14.0,0.0,4.0,1.0,41.0,39.0,1
4.0,4.0,12.0,2.0,4.0,0.0,4.0,1.0,50.0,39.0,1
2.0,4.0,15.0,2.522167487684729,3.0,3.0,4.0,1.0,40.0,39.0,0
0.0,4.0,15.0,4.0,6.781094527363184,3.0,4.0,0.0,18.0,39.0,0
4.0,3.95959595959596,12.0,2.0,10.0,0.0,4.0,1.0,30.0,39.0,1
2.0,5.0,9.0,2.0,6.781094527363184,0.0,4.0,1.0,55.0,39.0,1
4.0,6.0,11.0,0.0,6.781094527363184,1.0,4.0,1.0,30.0,39.0,0
2.1624365482233503,4.0,11.0,2.0,7.0,0.0,4.0,1.0,45.0,39.0,1
1.0,6.0,10.461538461538462,4.0,10.0,3.0,4.0,0.0,15.0,39.0,0
4.0,3.95959595959596,11.0,2.0,3.0,0.0,4.0,1.0,40.0,39.0,1
4.0,2.0,12.0,6.0,4.0,1.0,3.6485148514851486,1.0,18.0,39.0,0
2.0,4.0,10.461538461538462,2.0,4.0,0.0,4.0,1.0,70.0,39.0,1
2.0,4.0,10.461538461538462,2.0,4.0,5.0,4.0,0.0,40.0,39.0,1
2.0,3.95959595959596,9.0,2.0,4.0,0.0,4.0,1.0,38.0,39.0,1
2.0,2.0,15.0,2.0,11.0,1.2318840579710144,4.0,1.0,50.0,39.0,1
2.0,4.0,11.0,2.0,3.0,0.0,4.0,1.0,40.0,39.0,1
2.0,0.0,11.0,2.0,0.0,1.0,4.0,0.0,35.0,39.0,0
2.0,4.0,11.0,0.0,3.0,1.2318840579710144,4.0,0.0,50.0,39.0,0
1.0,3.95959595959596,5.0,4.0,3.0,1.0,4.0,1.0,40.0,39.0,0
2.0,4.0,9.0,2.0,12.0,0.0,3.6485148514851486,1.0,40.0,39.0,1
2.0,4.0,15.0,2.0,8.0,0.0,3.6485148514851486,1.0,40.0,39.0,1
2.0,4.0,9.0,2.0,4.0,0.0,4.0,1.0,55.0,39.0,1
