sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,class
1.0,0.51,0.395,0.13,0.6025,,0.143,0.162,0
,,0.34,,0.389,0.2015,,0.088,0
2.0,,,0.15,,,,0.215,1
1.0,0.51,0.375,,0.8415,0.3845,0.156,,1
,0.655,,,,0.5265,,,1
2.0,,,,,,,0.22,1
,,,0.185,,0.53,,0.322,1
,,,,,0.4625,0.1725,0.199,1
0.0,,,,1.7095,0.633,,,1
,,0.185,,,,0.021,,0
0.0,,0.425,,,0.3765,,0.1795,0
2.0,,,,,0.0665,,,1
,,0.36,,0.537,0.1725,0.1375,0.195,1
,0.605,,,,,,,1
1.0,,,,0.1155,,,,0
2.0,0.445,0.35,,,0.1565,,,0
2.0,,,0.15,,,,0.3,1
0.0,,,,,0.5835,,,1
,0.585,,,,,,,1
1.0,,,,,0.267,,,1
0.0,0.61,0.48,,,,,0.365,1
0.0,0.72,0.575,,1.6705,,0.3605,0.501,1
2.0,,,0.125,,,,,1
,,0.395,0.125,,,,0.188,1
,,,,,0.083,0.0365,,0
,0.475,0.38,0.12,,,0.0885,,0
,0.65,,,,,,,1
,,,,,,,0.15,1
,0.465,,0.105,0.488,0.188,0.0845,,1
0.0,,,0.17,1.2265,0.49,,,1
0.0,,,,0.9625,,,,1
,0.65,0.51,0.175,,,,,1
,,0.4,,,,0.1975,,1
2.0,,0.275,0.11,,,,,0
,0.475,,0.115,0.49,,,,1
,,0.495,0.19,1.437,,,0.41,1
2.0,0.575,0.48,,,0.4355,0.2605,,1
,0.42,0.315,,,0.1895,,,0
1.0,,0.16,0.045,0.0465,,0.015,,0
1.0,,0.46,0.14,,0.326,,,1
,0.69,0.55,0.195,,,,0.4305,1
,0.78,0.63,,2.657,,,,1
,,0.29,,,0.112,,0.08,0
,0.14,,,,,,,0
,,,0.165,1.349,0.5985,0.3175,,1
,0.625,,,,0.572,,0.395,1
,,,,,,0.1545,,0
0.0,,0.405,0.14,0.8175,,,,1
,,0.48,0.14,1.031,,0.2615,,0
,0.625,,0.155,1.0485,0.487,0.212,,1
,0.45,0.35,0.11,0.514,,0.1045,0.14,0
,,,,1.0985,0.4645,,0.354,1
0.0,,0.485,,,,,0.35,1
,,,,0.921,0.4005,0.2025,,1
,,,0.14,,,0.13,,1
,,,,,,0.2725,,1
2.0,0.485,,0.13,,0.2485,0.105,0.1555,0
,0.51,,0.135,,,,0.17,1
2.0,,,,,0.831,,0.371,1
1.0,,,,0.3535,,0.05,,0
,,0.41,0.145,,,0.1595,,1
2.0,,,0.15,,0.4315,,,1
,0.565,0.44,,,,,0.27,1
,,,0.165,,0.797,,,1
,0.415,,0.14,,0.1535,,0.144,1
1.0,,,,0.312,0.138,0.06,0.087,0
,,,,,,,,1
,,0.465,,,,0.174,,1
,,,,,0.755,0.298,,1
,0.585,,,1.047,,0.276,0.315,1
,0.505,0.4,0.15,0.775,,0.157,,0
0.0,0.61,0.46,,,0.478,0.2945,,1
0.0,0.42,,,,,,,1
1.0,,,,0.8715,0.45,0.162,,1
,0.585,,0.17,0.9915,,,,1
,,,,,,0.168,,1
,,0.28,0.105,0.199,0.0695,,,1
,0.56,0.43,0.155,,,,,0
,,,,,0.2895,,0.177,1
,,0.49,,,,,,1
,0.58,,,1.035,0.401,,,1
0.0,,,,0.5885,,,0.1325,0
2.0,,,,,,,0.315,1
,0.65,0.515,0.175,,,0.272,0.525,1
2.0,0.54,,0.145,,0.2635,0.168,,1
,0.485,,,0.458,,0.113,0.136,1
,,,,,,,,0
0.0,0.615,0.475,,,,0.2355,,1
2.0,0.38,,,0.2505,,0.0535,,0
,0.52,,0.14,0.6385,,0.1405,,0
,0.5,0.385,0.115,0.6785,0.2945,,,1
0.0,,0.48,,,,0.301,0.305,1
,0.42,0.34,0.125,,0.165,0.1125,,1
,0.62,,,1.3245,0.6865,0.233,0.3275,1
,0.62,,,,,,,1
1.0,,,,0.3305,,,,0
2.0,,,,,,,,1
,,,,0.2435,0.122,,,0
,,,0.08,,,0.0345,0.053,0
,,,,,,,0.2615,1
,,,,1.0515,0.4095,0.2595,0.276,0
,0.41,,0.105,0.3635,0.159,,,1
,,,,,,,,0
,0.505,,0.11,,,,0.175,1
,,,,,0.2765,0.1455,0.135,0
,0.545,0.43,,,,,0.228,0
,0.635,0.525,,1.3695,0.634,0.318,,1
,,0.405,,,,0.1635,,1
,,,,1.3585,0.5935,0.3365,,1
,,0.125,,0.0265,,0.0055,0.0085,0
2.0,,,0.14,,,,0.265,1
,,,,,0.6445,,,1
1.0,0.47,0.37,,0.4705,0.1845,0.1055,0.155,1
,,0.555,0.17,,0.5375,,,1
,,,,,,0.041,,0
2.0,,,,,,0.2255,,1
1.0,,,,,,,0.114,0
,0.59,,,,0.391,,0.31,1
,,,,,,0.3,,1
,,,0.095,0.319,0.138,,,0
,0.53,0.415,,,,0.1945,0.265,1
,0.43,,,,0.0925,,,1
0.0,,,,,,0.3695,,1
,0.485,0.375,,,0.2015,0.09,0.149,0
,,,,0.2805,,0.0615,0.0925,0
,,0.305,0.115,,,,0.09,0
,,,,0.907,0.4245,,,1
,,0.54,,,,0.2925,,1
2.0,0.6,0.465,0.155,,0.6245,0.2455,0.33,1
,0.525,0.405,,0.657,0.2985,,,1
,,,,,,0.0735,0.094,0
,0.61,,,1.438,0.5185,,,1
,0.475,,,,0.196,,,0
,0.72,,,,,,,1
,0.575,,0.145,,,,0.217,1
0.0,,,0.145,0.9905,,0.2205,0.275,0
,,,0.225,,,0.221,,1
,0.62,,,,,,,1
2.0,,0.545,,,0.6325,,0.378,1
0.0,0.55,,0.15,1.082,,0.194,,1
2.0,0.61,0.475,0.155,1.168,0.554,,,1
0.0,,,0.175,1.473,,0.282,0.4295,1
,,0.395,0.105,,,0.127,,0
,0.65,0.52,0.19,,,,,1
,0.695,,,,,0.541,,1
,,0.16,0.06,,,,0.015,0
1.0,0.545,,0.13,,,,,1
1.0,,,,,,0.013,,0
,,0.46,,,,,0.305,1
2.0,,0.535,0.19,1.669,,,,1
,0.44,0.355,,,0.132,,0.19,1
,0.54,,,,0.368,,,1
,0.495,0.33,0.1,0.44,,,,0
2.0,,0.53,0.195,1.39,0.6465,,,1
2.0,0.535,,,,0.2575,0.153,,1
0.0,0.59,0.465,,,,,0.2515,1
1.0,0.46,,,,,0.093,,0
,,,,,,,,1
1.0,,,0.055,0.0545,,,,0
2.0,0.7,,,1.751,0.895,0.3355,0.446,1
,,,,,,,,1
,0.615,0.475,,,0.5995,,0.37,1
,0.495,,,,,,0.15,0
0.0,,,,,,,0.322,1
2.0,0.66,,,,,0.3505,,1
1.0,,,,,0.2945,,0.1565,1
,0.605,0.485,,,,,,1
,,,,,,,,1
2.0,0.6,0.46,0.155,,,0.189,0.295,1
,0.425,,,,,0.0755,,0
