0,1,2,3,4,5,6,7,class
2.0,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,1
0.0,0.625,0.5,0.175,1.273,0.564,0.302,0.374,1
2.0,0.535,0.405,0.175,1.2705,0.548,0.2033748932038292,0.337,1
1.0,0.255,0.185,0.06,0.088,0.0365,0.021,0.023,0
2.0,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,1
1.0,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,1
0.0,0.65,0.515,0.215,1.498,0.564,0.323,0.425,1
1.0,0.53,0.42,0.13,0.93906417201297,0.3745,0.167,0.249,1
1.0,0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965,1
1.0,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,0
0.0,0.625,0.3885934205813962,0.135,1.3025,0.61,0.2675,0.3605,1
1.0,0.525,0.39,0.12,0.93906417201297,0.3115,0.147,0.178,1
0.0,0.65,0.5,0.185,1.4415,0.741,0.2033748932038292,0.341,1
1.0,0.49,0.3885934205813962,0.12,0.591,0.271,0.1125,0.1775,1
1.0679205851619644,0.585,0.42,0.145,0.6735,0.2895,0.1345,0.22,1
2.0,0.625,0.3885934205813962,0.175,1.4105,0.691,0.322,0.3465,1
1.0679205851619644,0.575,0.47,0.15,0.9785,0.4505,0.196,0.276,1
1.0679205851619644,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,1
1.0,0.43,0.325,0.1404787675241319,0.425,0.217,0.087,0.095,0
1.0679205851619644,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,0
2.0,0.535,0.435,0.14,0.874,0.3735,0.2033748932038292,0.2195,0
2.0,0.49,0.42,0.1404787675241319,0.609,0.239,0.1435,0.22,1
2.0,0.55,0.44,0.16,0.991,0.4228687146056774,0.168,0.375,1
1.0679205851619644,0.6,0.475,0.175,1.3445,0.549,0.2875,0.36,1
1.0679205851619644,0.52,0.415,0.14,0.6375,0.308,0.1335,0.168,1
1.0,0.5000175937588237,0.4,0.135,0.717,0.3315,0.1495,0.221,1
1.0,0.47,0.4,0.16,0.93906417201297,0.1615,0.073,0.198,1
0.0,0.5000175937588237,0.475,0.18,1.162,0.511,0.2675,0.32,1
